date,water_level_m,qc_water_level,discharge_mld,qc_discharge,temperature_c,qc_temperature
29/09/2017 0:00,0.512,2,169.94,2,,255
30/09/2017 0:00,0.491,2,159.55,2,,255
1/10/2017 0:00,0.494,2,161.14,2,,255
2/10/2017 0:00,0.503,2,165.42,2,,255
3/10/2017 0:00,0.425,2,125.74,2,,255
4/10/2017 0:00,0.437,2,132.34,2,,255
5/10/2017 0:00,0.398,2,112.13,2,,255
6/10/2017 0:00,0.382,2,104.28,2,,255
7/10/2017 0:00,0.455,2,141.33,2,,255
8/10/2017 0:00,0.356,2,92.68,2,,255
9/10/2017 0:00,0.395,2,110.96,2,,255
10/10/2017 0:00,0.434,2,130.4,2,,255
11/10/2017 0:00,0.445,2,136.06,2,,255
12/10/2017 0:00,0.393,2,109.64,2,,255
13/10/2017 0:00,0.439,15,133.38,15,,255
14/10/2017 0:00,0.451,15,139.57,15,,255
15/10/2017 0:00,0.421,15,123.65,15,,255
16/10/2017 0:00,0.45,15,138.81,15,,255
17/10/2017 0:00,0.456,15,141.62,15,,255
18/10/2017 0:00,0.448,15,137.87,15,,255
19/10/2017 0:00,0.437,15,132.36,15,,255
20/10/2017 0:00,0.46,15,144.1,15,,255
21/10/2017 0:00,0.425,15,125.87,15,,255
22/10/2017 0:00,0.376,15,101.43,15,,255
23/10/2017 0:00,0.429,15,128.37,15,,255
24/10/2017 0:00,0.432,15,129.47,15,,255
25/10/2017 0:00,0.497,15,162.55,15,,255
26/10/2017 0:00,0.509,15,168.4,15,,255
27/10/2017 0:00,0.506,15,166.66,15,,255
28/10/2017 0:00,0.482,15,155.04,15,,255
29/10/2017 0:00,0.47,15,148.76,15,,255
30/10/2017 0:00,0.532,15,179.86,15,,255
31/10/2017 0:00,0.687,15,259.12,15,,255
1/11/2017 0:00,0.646,15,238.33,15,,255
2/11/2017 0:00,0.614,15,222.09,15,,255
3/11/2017 0:00,0.69,15,260.98,149,,255
4/11/2017 0:00,0.926,15,388.69,149,,255
5/11/2017 0:00,1.219,15,557.54,150,,255
6/11/2017 0:00,1.171,15,529.55,150,,255
7/11/2017 0:00,1.132,15,507.15,150,,255
8/11/2017 0:00,1.127,15,504,150,,255
9/11/2017 0:00,0.965,15,410.41,150,,255
10/11/2017 0:00,0.821,15,329.33,149,,255
11/11/2017 0:00,0.827,15,332.81,149,,255
12/11/2017 0:00,0.759,15,296.64,149,,255
13/11/2017 0:00,0.555,15,191.97,15,,255
14/11/2017 0:00,0.505,15,166.67,15,,255
15/11/2017 0:00,0.546,15,187.2,15,,255
16/11/2017 0:00,0.556,15,192.12,15,,255
17/11/2017 0:00,0.522,15,175.17,15,,255
18/11/2017 0:00,0.501,15,164.34,15,,255
19/11/2017 0:00,0.541,15,184.49,15,,255
20/11/2017 0:00,0.451,15,139.32,15,,255
21/11/2017 0:00,0.383,15,104.74,15,,255
22/11/2017 0:00,0.487,15,157.26,15,,255
23/11/2017 0:00,0.56,15,194.29,15,,255
24/11/2017 0:00,0.596,15,212.68,15,,255
25/11/2017 0:00,0.541,15,184.78,15,,255
26/11/2017 0:00,0.605,15,217.24,15,,255
27/11/2017 0:00,0.683,15,257.24,15,,255
28/11/2017 0:00,0.591,15,209.96,15,,255
29/11/2017 0:00,0.502,15,164.79,15,,255
30/11/2017 0:00,0.64,15,235.28,15,,255
1/12/2017 0:00,0.765,15,299.34,149,,255
2/12/2017 0:00,0.66,15,245.24,15,,255
3/12/2017 0:00,0.916,15,385.19,150,,255
4/12/2017 0:00,1.212,15,553.21,150,,255
5/12/2017 0:00,1.18,15,534.49,150,,255
6/12/2017 0:00,0.869,15,357.49,149,,255
7/12/2017 0:00,0.689,15,259.93,15,,255
8/12/2017 0:00,0.965,15,411.56,150,,255
9/12/2017 0:00,1.127,15,504.05,150,,255
10/12/2017 0:00,0.891,15,368.55,149,,255
11/12/2017 0:00,0.739,15,285.59,15,,255
12/12/2017 0:00,0.731,15,281.41,15,,255
13/12/2017 0:00,0.664,15,247.44,15,,255
14/12/2017 0:00,0.607,15,218.01,15,,255
15/12/2017 0:00,0.482,15,154.98,15,,255
16/12/2017 0:00,0.449,15,138.23,15,,255
17/12/2017 0:00,0.433,15,129.96,15,,255
18/12/2017 0:00,0.403,15,114.56,15,,255
19/12/2017 0:00,0.454,15,141.04,15,,255
20/12/2017 0:00,0.518,15,172.87,15,,255
21/12/2017 0:00,0.49,15,159.19,15,,255
22/12/2017 0:00,0.534,15,181.23,15,,255
23/12/2017 0:00,0.496,15,161.9,15,,255
24/12/2017 0:00,0.441,15,134.28,15,,255
25/12/2017 0:00,0.489,15,158.64,15,,255
26/12/2017 0:00,0.464,15,145.9,15,,255
27/12/2017 0:00,0.462,15,144.95,15,,255
28/12/2017 0:00,0.453,15,140.31,15,,255
29/12/2017 0:00,0.433,15,130.05,15,,255
30/12/2017 0:00,0.46,15,143.63,15,,255
31/12/2017 0:00,0.65,15,240.5,15,,255
1/01/2018 0:00,0.612,15,220.97,15,,255
2/01/2018 0:00,0.489,15,158.57,15,,255
3/01/2018 0:00,0.442,15,134.72,15,,255
4/01/2018 0:00,0.545,15,186.78,15,,255
5/01/2018 0:00,0.481,2,154.65,2,,255
6/01/2018 0:00,0.463,2,145.55,2,,255
7/01/2018 0:00,0.441,2,134.63,2,,255
8/01/2018 0:00,0.402,2,114.17,2,,255
9/01/2018 0:00,0.393,2,109.24,2,,255
10/01/2018 0:00,0.445,2,136.22,2,,255
11/01/2018 0:00,0.507,2,167.4,2,,255
12/01/2018 0:00,0.489,2,158.54,2,,255
13/01/2018 0:00,0.464,2,145.85,2,,255
14/01/2018 0:00,0.491,2,159.58,2,,255
15/01/2018 0:00,0.579,2,203.81,2,,255
16/01/2018 0:00,0.519,2,173.54,2,,255
17/01/2018 0:00,0.491,2,159.61,2,,255
18/01/2018 0:00,0.482,2,154.91,2,,255
19/01/2018 0:00,0.453,2,140.36,2,,255
20/01/2018 0:00,0.438,2,132.51,2,,255
21/01/2018 0:00,0.417,2,121.82,2,,255
22/01/2018 0:00,0.436,50,131.55,50,,255
23/01/2018 0:00,0.442,2,134.52,2,,255
24/01/2018 0:00,0.453,2,140.43,2,,255
25/01/2018 0:00,0.47,2,149.03,2,,255
26/01/2018 0:00,0.522,2,174.77,2,,255
27/01/2018 0:00,0.502,2,164.79,2,,255
28/01/2018 0:00,0.515,2,171.55,2,,255
29/01/2018 0:00,0.525,2,176.46,2,,255
30/01/2018 0:00,0.633,2,231.53,2,,255
31/01/2018 0:00,0.629,2,229.69,2,,255
1/02/2018 0:00,0.559,2,193.79,2,,255
2/02/2018 0:00,0.569,2,198.81,2,,255
3/02/2018 0:00,0.466,2,146.78,2,,255
4/02/2018 0:00,0.413,2,119.49,2,,255
5/02/2018 0:00,0.416,2,121.42,2,,255
6/02/2018 0:00,0.412,2,119.31,2,,255
7/02/2018 0:00,0.444,2,135.91,2,,255
8/02/2018 0:00,0.451,2,139.19,2,,255
