date,water_level_m,qc_water_level,discharge_mld,qc_discharge
8/02/2018 0:00,1.904,2,5512.84,2
9/02/2018 0:00,1.916,2,5591.54,2
10/02/2018 0:00,2.006,2,6197.86,2
11/02/2018 0:00,1.914,2,5577.36,2
12/02/2018 0:00,1.907,2,5530.38,2
13/02/2018 0:00,1.893,2,5440.58,2
14/02/2018 0:00,1.791,2,4814.05,2
15/02/2018 0:00,1.774,2,4713.38,2
16/02/2018 0:00,1.77,2,4690.15,2
17/02/2018 0:00,1.768,2,4677.35,2
18/02/2018 0:00,1.766,2,4662.03,2
19/02/2018 0:00,1.767,2,4671.42,2
20/02/2018 0:00,1.766,2,4663.56,2
21/02/2018 0:00,1.765,2,4656.94,2
22/02/2018 0:00,1.761,2,4635.03,2
23/02/2018 0:00,1.761,2,4632.33,2
24/02/2018 0:00,1.758,2,4616.47,2
25/02/2018 0:00,1.754,2,4590.96,2
26/02/2018 0:00,1.754,2,4593.85,2
27/02/2018 0:00,1.756,2,4601.19,2
28/02/2018 0:00,1.753,2,4583.91,2
1/03/2018 0:00,1.747,2,4550.97,2
2/03/2018 0:00,1.753,2,4587.2,2
3/03/2018 0:00,1.82,2,4987.42,2
4/03/2018 0:00,1.861,2,5236.15,2
5/03/2018 0:00,1.861,2,5236.22,2
6/03/2018 0:00,1.86,2,5232.55,2
7/03/2018 0:00,1.882,2,5374.4,2
8/03/2018 0:00,2.034,2,6396.51,2
9/03/2018 0:00,2.075,2,6700.27,2
10/03/2018 0:00,2.205,2,7673.1,2
11/03/2018 0:00,2.235,2,7886.77,2
12/03/2018 0:00,2.243,2,7936.68,2
13/03/2018 0:00,2.245,2,7955.07,2
14/03/2018 0:00,2.258,76,8048.87,76
15/03/2018 0:00,2.337,76,8616.67,76
16/03/2018 0:00,2.402,2,9099.88,2
17/03/2018 0:00,2.444,2,9425.74,2
18/03/2018 0:00,2.461,2,9556.05,2
19/03/2018 0:00,2.462,2,9566.73,2
